month,accesses
2016-05,2598
2016-06,1528
2016-07,16293
2016-08,7710
2016-09,18246
2016-10,101998
2016-11,19933
2016-12,109471
2017-01,12953
2017-02,99558
2017-03,108608
2017-04,43431
2017-05,92050
2017-06,290126
2017-07,30235
2017-08,14976
